0,0,nose,"(483, 365)"
0,1,neck,"(534, 371)"
0,2,r_sho,"(545, 371)"
0,3,r_elb,"(585, 427)"
0,4,r_wri,"(590, 478)"
0,5,l_sho,"(523, 376)"
0,6,l_elb,"(528, 438)"
0,7,l_wri,"(511, 495)"
0,8,r_hip,"(568, 472)"
0,9,r_knee,"(540, 545)"
0,10,r_ank,"(528, 618)"
0,11,l_hip,"(545, 472)"
0,12,l_knee,"(511, 545)"
0,13,l_ank,"(517, 618)"
0,15,l_eye,"(483, 354)"
0,17,l_ear,"(500, 348)"
0,0,nose,"(483, 365)"
0,1,neck,"(534, 371)"
0,2,r_sho,"(545, 371)"
0,3,r_elb,"(585, 427)"
0,4,r_wri,"(590, 478)"
0,5,l_sho,"(523, 376)"
0,6,l_elb,"(528, 438)"
0,7,l_wri,"(511, 495)"
0,8,r_hip,"(568, 472)"
0,9,r_knee,"(540, 545)"
0,10,r_ank,"(528, 618)"
0,11,l_hip,"(545, 472)"
0,12,l_knee,"(511, 545)"
0,13,l_ank,"(517, 618)"
0,15,l_eye,"(483, 354)"
0,17,l_ear,"(500, 348)"
1,0,nose,"(478, 365)"
1,1,neck,"(528, 376)"
1,2,r_sho,"(534, 376)"
1,3,r_elb,"(585, 433)"
1,4,r_wri,"(601, 478)"
1,5,l_sho,"(517, 376)"
1,6,l_elb,"(534, 427)"
1,7,l_wri,"(528, 478)"
1,8,r_hip,"(568, 472)"
1,9,r_knee,"(540, 540)"
1,10,r_ank,"(528, 618)"
1,11,l_hip,"(556, 472)"
1,12,l_knee,"(511, 534)"
1,13,l_ank,"(511, 618)"
1,14,r_eye,"(478, 360)"
1,15,l_eye,"(483, 360)"
1,17,l_ear,"(500, 348)"
0,0,nose,"(483, 365)"
0,1,neck,"(534, 371)"
0,2,r_sho,"(545, 371)"
0,3,r_elb,"(585, 427)"
0,4,r_wri,"(590, 478)"
0,5,l_sho,"(523, 376)"
0,6,l_elb,"(528, 438)"
0,7,l_wri,"(511, 495)"
0,8,r_hip,"(568, 472)"
0,9,r_knee,"(540, 545)"
0,10,r_ank,"(528, 618)"
0,11,l_hip,"(545, 472)"
0,12,l_knee,"(511, 545)"
0,13,l_ank,"(517, 618)"
0,15,l_eye,"(483, 354)"
0,17,l_ear,"(500, 348)"
1,0,nose,"(478, 365)"
1,1,neck,"(528, 376)"
1,2,r_sho,"(534, 376)"
1,3,r_elb,"(585, 433)"
1,4,r_wri,"(601, 478)"
1,5,l_sho,"(517, 376)"
1,6,l_elb,"(534, 427)"
1,7,l_wri,"(528, 478)"
1,8,r_hip,"(568, 472)"
1,9,r_knee,"(540, 540)"
1,10,r_ank,"(528, 618)"
1,11,l_hip,"(556, 472)"
1,12,l_knee,"(511, 534)"
1,13,l_ank,"(511, 618)"
1,14,r_eye,"(478, 360)"
1,15,l_eye,"(483, 360)"
1,17,l_ear,"(500, 348)"
2,0,nose,"(478, 371)"
2,1,neck,"(528, 382)"
2,2,r_sho,"(545, 376)"
2,3,r_elb,"(590, 427)"
2,4,r_wri,"(613, 461)"
2,5,l_sho,"(506, 382)"
2,6,l_elb,"(534, 421)"
2,7,l_wri,"(545, 461)"
2,8,r_hip,"(573, 472)"
2,9,r_knee,"(534, 540)"
2,10,r_ank,"(528, 618)"
2,11,l_hip,"(545, 472)"
2,12,l_knee,"(506, 540)"
2,13,l_ank,"(506, 624)"
2,14,r_eye,"(466, 365)"
2,15,l_eye,"(472, 365)"
2,17,l_ear,"(489, 354)"
0,0,nose,"(483, 365)"
0,1,neck,"(534, 371)"
0,2,r_sho,"(545, 371)"
0,3,r_elb,"(585, 427)"
0,4,r_wri,"(590, 478)"
0,5,l_sho,"(523, 376)"
0,6,l_elb,"(528, 438)"
0,7,l_wri,"(511, 495)"
0,8,r_hip,"(568, 472)"
0,9,r_knee,"(540, 545)"
0,10,r_ank,"(528, 618)"
0,11,l_hip,"(545, 472)"
0,12,l_knee,"(511, 545)"
0,13,l_ank,"(517, 618)"
0,15,l_eye,"(483, 354)"
0,17,l_ear,"(500, 348)"
1,0,nose,"(478, 365)"
1,1,neck,"(528, 376)"
1,2,r_sho,"(534, 376)"
1,3,r_elb,"(585, 433)"
1,4,r_wri,"(601, 478)"
1,5,l_sho,"(517, 376)"
1,6,l_elb,"(534, 427)"
1,7,l_wri,"(528, 478)"
1,8,r_hip,"(568, 472)"
1,9,r_knee,"(540, 540)"
1,10,r_ank,"(528, 618)"
1,11,l_hip,"(556, 472)"
1,12,l_knee,"(511, 534)"
1,13,l_ank,"(511, 618)"
1,14,r_eye,"(478, 360)"
1,15,l_eye,"(483, 360)"
1,17,l_ear,"(500, 348)"
2,0,nose,"(478, 371)"
2,1,neck,"(528, 382)"
2,2,r_sho,"(545, 376)"
2,3,r_elb,"(590, 427)"
2,4,r_wri,"(613, 461)"
2,5,l_sho,"(506, 382)"
2,6,l_elb,"(534, 421)"
2,7,l_wri,"(545, 461)"
2,8,r_hip,"(573, 472)"
2,9,r_knee,"(534, 540)"
2,10,r_ank,"(528, 618)"
2,11,l_hip,"(545, 472)"
2,12,l_knee,"(506, 540)"
2,13,l_ank,"(506, 624)"
2,14,r_eye,"(466, 365)"
2,15,l_eye,"(472, 365)"
2,17,l_ear,"(489, 354)"
3,0,nose,"(461, 376)"
3,1,neck,"(523, 388)"
3,2,r_sho,"(540, 376)"
3,3,r_elb,"(590, 421)"
3,4,r_wri,"(630, 461)"
3,5,l_sho,"(506, 388)"
3,6,l_elb,"(540, 421)"
3,7,l_wri,"(551, 461)"
3,8,r_hip,"(573, 466)"
3,9,r_knee,"(534, 545)"
3,10,r_ank,"(523, 624)"
3,11,l_hip,"(545, 472)"
3,12,l_knee,"(506, 540)"
3,13,l_ank,"(506, 624)"
